assessment_id,course_id,title,total_marks
1,51953,Final Assessment,50
2,35485,Practice Test,50
3,17547,Quiz 1,50
4,57213,Quiz 1,100
5,32644,Module Evaluation,100
6,76515,Midterm Test,50
7,72879,Practice Test,75
8,13609,Practice Test,75
9,40439,Module Evaluation,100
10,32417,Midterm Test,100
11,53972,Midterm Test,100
12,74187,Course Test,50
13,63403,Course Test,75
14,74954,Quiz 2,100
15,68767,Course Test,75
16,63201,Final Assessment,100
17,36828,Quiz 2,100
18,45690,Module Evaluation,100
19,52132,Course Test,100
20,30187,Module Evaluation,100
21,51293,Quiz 2,100
22,66483,Practice Test,50
23,73098,Quiz 2,50
24,73083,Final Assessment,50
25,78985,Practice Test,50
26,44985,Midterm Test,100
27,23680,Quiz 2,50
28,1877,Module Evaluation,100
29,11200,Quiz 1,100
30,73335,Practice Test,75
31,23838,Final Assessment,50
32,45261,Course Test,100
33,63824,Final Assessment,75
34,37926,Midterm Test,100
35,6364,Practice Test,50
36,29990,Course Test,50
37,14067,Course Test,50
38,26255,Module Evaluation,75
39,47899,Quiz 2,100
40,28338,Quiz 2,75
41,15182,Final Assessment,100
42,17148,Practice Test,75
43,34272,Practice Test,100
44,15295,Quiz 1,50
45,4521,Quiz 1,50
46,56250,Quiz 1,50
47,73973,Quiz 2,100
48,40323,Module Evaluation,50
49,20712,Module Evaluation,50
50,32636,Practice Test,100
51,24201,Course Test,75
52,74422,Quiz 1,75
53,53863,Module Evaluation,75
54,73049,Practice Test,100
55,7593,Practice Test,100
56,8064,Practice Test,75
57,25040,Midterm Test,50
58,1468,Course Test,100
59,48080,Quiz 1,100
60,73774,Course Test,100
61,48380,Module Evaluation,100
62,45007,Quiz 1,75
63,14011,Module Evaluation,50
64,30927,Quiz 1,75
65,45600,Module Evaluation,75
66,15138,Quiz 2,50
67,50112,Quiz 1,75
68,75565,Practice Test,50
69,63536,Practice Test,75
70,3116,Final Assessment,75
71,16792,Course Test,100
72,14495,Practice Test,50
73,65443,Quiz 2,50
74,52239,Quiz 1,100
75,28139,Final Assessment,100
76,76006,Practice Test,100
77,11541,Final Assessment,50
78,73823,Practice Test,50
79,5247,Course Test,50
80,64609,Course Test,100
81,35439,Practice Test,75
82,22521,Midterm Test,75
83,56821,Module Evaluation,75
84,38876,Quiz 1,100
85,43764,Module Evaluation,50
86,35327,Final Assessment,50
87,7511,Course Test,75
88,39088,Module Evaluation,50
