enrollment_id,user_id,course_id,enrolled_at,status
1,63965,13165,2023-03-06,active
2,69236,12833,2023-08-09,inactive
3,41800,28038,2024-07-15,active
4,24461,78819,2024-01-09,active
5,70463,17197,2024-04-21,active
6,11863,66658,2023-12-06,inactive
7,64378,19978,2023-11-02,inactive
8,54361,10840,2024-06-11,inactive
9,50655,30200,2023-01-27,active
10,18596,10885,2024-09-15,active
11,37655,59459,2023-10-11,active
12,73737,41225,2024-10-15,active
13,23794,68744,2024-04-29,active
14,22817,3631,2024-03-11,inactive
15,10054,42526,2023-06-26,inactive
16,37155,26425,2024-04-14,active
17,12918,29854,2023-07-15,active
18,40218,52727,2024-09-09,active
19,4135,61575,2023-04-23,active
20,46070,34696,2024-09-01,active
21,43535,33674,2023-12-25,active
22,44070,27975,2023-02-13,active
23,4457,5288,2023-09-17,active
24,70971,37310,2023-05-04,active
25,46723,44589,2023-07-13,active
26,2573,67041,2023-05-25,active
27,11189,35561,2023-09-04,active
28,71090,4495,2024-08-06,active
29,14389,53857,2023-04-14,active
30,59164,56166,2023-12-10,active
31,48180,33283,2023-09-05,inactive
32,57844,71113,2023-05-12,inactive
33,33440,35891,2023-12-23,active
34,25047,78462,2024-09-10,inactive
35,60809,18159,2023-10-11,inactive
36,8500,64661,2023-01-29,active
37,41295,7088,2023-11-18,active
38,9530,66156,2024-08-31,inactive
39,54526,38641,2024-11-12,active
40,33328,34536,2023-02-25,active
41,49619,65216,2024-09-21,inactive
42,37167,11142,2024-07-17,active
43,4101,68702,2023-05-29,active
44,14190,59002,2023-01-17,active
45,58816,20225,2024-11-11,active
46,41894,56753,2023-12-01,inactive
47,41284,41799,2024-08-21,active
48,691,48522,2024-06-15,active
49,52684,72505,2023-09-12,active
50,56743,21462,2024-02-02,active
51,49428,15732,2024-07-04,active
52,51416,77990,2023-04-15,inactive
53,69924,40135,2023-01-04,active
54,26831,15748,2024-07-15,active
55,25141,56210,2023-05-04,active
56,34627,76287,2023-05-13,active
57,14702,21923,2023-05-13,active
58,26719,49049,2023-03-15,active
59,72586,6237,2024-05-19,active
60,71122,12256,2024-11-10,active
61,79466,79393,2023-06-04,active
