activity_id,user_id,lesson_id,activity_type,timestamp
1,34377,40506,viewed,2024-02-07 11:54:00
2,40953,75829,viewed,2023-01-13 04:00:00
3,72145,72829,completed,2023-01-19 05:55:00
4,44241,71023,revisited,2024-07-29 23:10:00
5,64723,13027,paused,2023-10-15 22:27:00
6,18328,44338,completed,2023-05-24 00:45:00
7,19755,6384,completed,2024-06-25 04:30:00
8,39093,38887,paused,2023-09-10 18:11:00
9,76548,17783,completed,2024-06-04 12:10:00
10,61771,58985,paused,2023-03-06 00:32:00
11,23021,2221,revisited,2024-03-01 10:24:00
12,28366,22064,started,2023-12-07 04:18:00
13,27813,72259,revisited,2023-03-18 19:03:00
14,24126,33932,completed,2023-09-10 13:42:00
15,74658,76344,paused,2024-01-30 20:34:00
16,1499,68015,started,2024-10-08 14:13:00
17,37410,66916,started,2024-01-26 20:09:00
18,29232,38412,started,2023-03-10 18:28:00
19,64717,30671,paused,2023-02-11 19:28:00
20,34527,73636,paused,2024-10-28 19:56:00
21,56383,75871,completed,2023-12-04 07:45:00
22,13354,25394,completed,2024-08-31 13:56:00
23,79727,63851,started,2023-10-18 20:02:00
24,68225,3382,revisited,2023-05-06 20:17:00
25,46089,23012,viewed,2024-04-09 08:09:00
26,7557,29192,started,2024-06-14 13:30:00
27,75731,61480,viewed,2024-07-16 02:14:00
28,17304,76963,viewed,2024-05-10 08:00:00
29,79047,76606,revisited,2023-12-14 14:51:00
30,34438,9810,paused,2023-07-21 00:43:00
31,34073,10176,revisited,2023-02-14 12:45:00
32,35426,68319,started,2024-08-11 02:19:00
33,37515,37749,completed,2023-11-19 20:25:00
34,68033,61864,viewed,2024-10-02 16:10:00
35,12451,48521,started,2024-03-02 07:37:00
36,11837,53948,completed,2024-02-27 03:43:00
37,54167,29622,viewed,2024-08-22 11:50:00
38,13128,71465,viewed,2024-08-26 04:26:00
39,28685,73752,started,2023-05-17 02:52:00
40,14440,8942,paused,2024-02-03 10:20:00
41,5015,39198,completed,2023-05-03 21:38:00
42,46950,39594,started,2023-04-07 23:06:00
43,10742,53475,completed,2023-01-21 20:07:00
44,46662,14559,paused,2023-11-25 05:32:00
45,47469,31964,viewed,2023-03-25 18:59:00
46,51927,63289,completed,2024-01-04 05:08:00
47,46400,24910,started,2023-12-13 08:31:00
48,72662,60047,started,2023-01-23 00:16:00
49,27600,5094,viewed,2023-02-23 09:42:00
50,39571,76305,revisited,2024-09-29 13:49:00
51,50881,22915,viewed,2024-11-01 17:50:00
52,58716,67289,completed,2024-09-22 06:43:00
53,65952,77532,started,2023-04-04 23:35:00
54,31374,51592,paused,2024-09-04 13:49:00
55,17071,56668,viewed,2024-01-31 06:30:00
56,35044,65201,started,2023-03-04 23:57:00
57,29473,20697,viewed,2024-02-25 13:55:00
58,59342,34843,completed,2024-11-15 18:07:00
59,46559,56349,started,2023-09-10 03:11:00
60,9,29949,revisited,2024-03-22 14:39:00
61,13033,7015,paused,2023-10-16 23:11:00
62,18942,20990,completed,2024-07-09 02:48:00
63,16018,13663,viewed,2023-04-10 21:58:00
64,75460,26588,viewed,2023-11-10 02:21:00
65,22793,67259,paused,2023-09-08 02:33:00
66,63126,55326,started,2024-07-17 14:46:00
67,30320,564,paused,2024-09-23 22:34:00
68,57363,77184,revisited,2023-01-11 16:42:00
69,77291,74980,paused,2023-01-05 16:00:00
70,17923,46926,started,2024-11-04 09:31:00
71,50341,14545,started,2023-08-19 12:39:00
72,21554,25591,paused,2024-06-02 03:38:00
73,18235,33805,started,2024-11-26 08:15:00
74,78386,35539,started,2024-04-30 08:17:00
75,12801,20858,revisited,2024-04-26 20:52:00
76,28318,44362,completed,2023-05-17 12:50:00
77,76804,75961,revisited,2023-12-13 20:55:00
78,60412,32112,revisited,2023-05-14 03:58:00
79,27487,42455,completed,2023-02-16 15:08:00
80,56963,5549,paused,2024-04-15 01:04:00
81,56919,47203,started,2023-01-18 05:49:00
82,71610,32071,completed,2023-03-23 16:13:00
